title,company,description,link,listedOn,email,phone,city,region,salary,runDate,jobType,regionName
Analyst Tester,FNZ Services (NZ) Limited,Join FNZ as an Analyst Tester and embark on an exciting journey! You'll be involved in a wide range of tasks and challenged every step of the way!,https://www.seek.co.nz/job/77098049?type=standard&ref=search-standalone&origin=cardTitle#sol=7782db53e2f13b88eea22172c12579c5867e5f6c,23d ago,,,,,,13/03/2025,,Wellington
R&D Food Technologist,Groenz,Are you a creative Food Technologist who is passionate about food and developing new products?,https://www.seek.co.nz/job/82392264?type=standard&ref=search-standalone&origin=cardTitle#sol=532c7329311f9cd6e14a4bc05c935ff53b5586e9,8d ago,,,,,,13/03/2025,,Wellington
Systems Administrator,Find IT Recruitment,"Wide-ranging systems admin role, working with some critical technology in a unique technical environment!",https://www.seek.co.nz/job/82150607?type=standard&ref=search-standalone&origin=cardTitle#sol=0276645de6f7ba445e2bded2394243c03dbe477a,24m ago,,,,,,13/03/2025,,Wellington
Digital Marketing Specialist,Frater Perfumes Limited,"Join our talented team and contribute to the production and delivery of rich, unique and exclusive products.",https://www.seek.co.nz/job/82525955?type=standard&ref=search-standalone&origin=cardTitle#sol=0b136af6987b563ce4195b995038033970a4573d,6d ago,,,,,,13/03/2025,,Wellington
Technical Lead (Azure Integration),Datacom,"Here at Datacom, we connect people and technology to solve challenges, create opportunities and discover new possibilities",https://www.seek.co.nz/job/82758435?type=standard&ref=search-standalone&origin=cardTitle#sol=9eaad3c1bb7154fef480cfb7c7e936f7f52f3f5e,10d ago,,,,,,13/03/2025,,Wellington
Technology Experience Manager,Bupa,"Newly created opportunity in Bupa NZ Technology Leadership Team, lead technology experience & continuous improvement of technology customer service",https://www.seek.co.nz/job/82598260?type=standard&ref=search-standalone&origin=cardTitle#sol=5e554b2a64826990dd64d6fbc3d1d64a0ce3ad12,,,,,,,13/03/2025,,Wellington
Service Desk Analyst,Spark New Zealand Trading Limited,Service Desk Analyst,https://www.seek.co.nz/job/82468220?type=standard&ref=search-standalone&origin=cardTitle#sol=f0d60f922cfae0a5e547e30fb98ca382a15abff2,,,,,,,13/03/2025,,Wellington
Digital Marketing Specialist,Frater Perfumes Limited,"Join our talented team and contribute to the production and delivery of rich, unique and exclusive products.",https://www.seek.co.nz/job/82525955?type=promoted&ref=search-standalone&origin=cardTitle#sol=62f34522bbc580b28f1d448f2cecf4a4c230303e,2d ago,,,,,"$75,000 – $85,000 per year",13/03/2025,,Wellington
Service Desk Analyst,Spark New Zealand Trading Limited,Service Desk Analyst,https://www.seek.co.nz/job/82468220?type=promoted&ref=search-standalone&origin=cardTitle#sol=77e28e9e7fd39984cef4a44867d56c1d8f4ea940,3d ago,,,,,Competitive salary and supporting benefits,13/03/2025,,Wellington
Help Desk Technician,ENGEO,Provide IT support to our 8 locations across NZ & Australia as part of a small but effective international IT team.,https://www.seek.co.nz/job/82671686?type=standard&ref=search-standalone&origin=cardTitle#sol=b11685bb5879a84410d16d08f68863eff0683c8c,3d ago,,,,,$30 – $32 per hour,13/03/2025,,Wellington
Data and Reporting Analyst,Hutt City Council,"Design data pipelines, create reports, and build models to support decision-making and continuous improvement.",https://www.seek.co.nz/job/82641466?type=standard&ref=search-standalone&origin=cardTitle#sol=3e582de1d9c92a86f5df0299981f46f2ba5f1dd9,6d ago,,,,,$65k - $70k p.a.,13/03/2025,,Wellington
Communications Manager,Universities New Zealand,We are looking for a proven communications professional to support our work programme.,https://www.seek.co.nz/job/82642116?type=standard&ref=search-standalone&origin=cardTitle#sol=d1222993315ea20b5341dbfba8cd70431b8be4c1,15d ago,,,,,$35 – $50 per hour,13/03/2025,,Wellington
Marketing Coordinator,Motive Group,"Small team, big plans. Come and join us as we develop and grow - we'd love your marketing skills!",https://www.seek.co.nz/job/82594842?type=standard&ref=search-standalone&origin=cardTitle#sol=3a2f0d2337fc1e36660e48a9b771faea0091741a,18h ago,,,,,"$90,000 – $110,000 per year",13/03/2025,,Wellington
